username,user_id,tweet_id,timestamp,content,retweets,likes,replies,hashtags,mentions,url,verified
TradingGuru123,977454,2998194865814145958,2025-09-23T01:07:10.644302,Sensex gained by 400 points today. Banking leading the rally. #sensex #stockmarket,46,323,16,#sensex|#stockmarket,,https://twitter.com/user/status/6707614359685273133,True
EquityResearch,930644,4745712563542845534,2025-09-23T01:06:38.233392,Small caps underperforming large caps this week. RELIANCE up 4.1% #smallcaps #multibagger,48,151,53,#smallcaps|#multibagger,,https://twitter.com/user/status/3547130689729811992,True
FundamentalFirst,968371,7254037672000662375,2025-09-23T01:06:30.543132,Pharma sector showing reversal. HDFCBANK at key support/resistance. #pharma #technical,145,123,6,#pharma|#technical,,https://twitter.com/user/status/9590174639953938791,True
StockMarketExpert,946675,1926329856033815676,2025-09-23T01:05:04.732507,Sensex gained by 250 points today. Pharma leading the correction. #sensex #stockmarket,80,91,15,#sensex|#stockmarket,,https://twitter.com/user/status/8650541307065761955,True
TradingSetups,186846,2962610954726755357,2025-09-23T01:04:21.818561,"Currency impact: USDINR at 83.50. IT exports under pressure? Watch TCS, INFY #forex #exports",81,389,21,#forex|#exports,,https://twitter.com/user/status/3955920332763859085,False
MarketMoves,138436,2812226522677974707,2025-09-23T01:03:22.257099,FII buying worth ₹1800 crores in Energy today. Impact on TCS? #fii #markets,83,100,60,#fii|#markets,,https://twitter.com/user/status/5107223590216781175,False
StockAlerts,621519,7250238470215803614,2025-09-23T01:02:30.328870,Sensex surged by 250 points today. Energy leading the recovery. #sensex #stockmarket,9,30,67,#sensex|#stockmarket,,https://twitter.com/user/status/2870243511678663698,False
NiftyAnalyst,641941,2996189439588540462,2025-09-23T01:02:12.146267,"Nifty 50 at 19000 levels, showing strong bullish momentum. Good profit booking opportunity? #nifty50 #trading",110,329,33,#nifty50|#trading,,https://twitter.com/user/status/8427960116497969127,True
TradingGuru123,972251,9496308476652464116,2025-09-23T01:01:41.781661,IT stocks bearish ahead of earnings. SBI looks bullish. #itstocks #earnings,75,186,74,#itstocks|#earnings,,https://twitter.com/user/status/4327494090648431673,False
MarketMoves,577446,1112538128416287682,2025-09-23T01:00:41.482975,Sensex gained by 400 points today. FMCG leading the correction. #sensex #stockmarket,72,351,67,#sensex|#stockmarket,,https://twitter.com/user/status/4978383279994084552,False
MarketMoves,435088,5037815168667626481,2025-09-23T01:00:13.915322,"Nifty 50 at 18500 levels, showing volatile momentum. Good selling opportunity? #nifty50 #trading",63,81,49,#nifty50|#trading,,https://twitter.com/user/status/2178063690898680849,False
TechnicalTrader,748084,9373099176394166014,2025-09-23T00:59:00.642521,Small caps underperforming large caps this week. ICICIBANK up 2.5% #smallcaps #multibagger,123,249,6,#smallcaps|#multibagger,,https://twitter.com/user/status/6177024429210074373,True
StockMarketExpert,749966,8786215200459273934,2025-09-23T00:58:46.327344,Bank Nifty testing 45000 resistance. Options traders watch for breakout. #banknifty #options,104,602,34,#banknifty|#options,,https://twitter.com/user/status/2084543816430998839,True
StockPicksDaily,342764,3375606920525957775,2025-09-23T00:58:13.312785,Small caps underperforming large caps this week. WIPRO up 0.9% #smallcaps #multibagger,25,49,47,#smallcaps|#multibagger,,https://twitter.com/user/status/3225495145672517265,False
EquityResearch,195192,8663661380253477635,2025-09-23T00:58:06.555955,Pharma sector showing breakout. INFY at key support/resistance. #pharma #technical,122,433,57,#pharma|#technical,,https://twitter.com/user/status/7277589198972021225,False
NiftyAnalyst,393057,7336753973589239119,2025-09-23T00:58:06.046045,Pharma sector showing continuation. WIPRO at key support/resistance. #pharma #technical,58,404,64,#pharma|#technical,,https://twitter.com/user/status/4976746747681959778,False
NiftyAnalyst,639602,8028689619073361768,2025-09-23T00:57:30.361476,"Nifty 50 at 18750 levels, showing sideways momentum. Good profit booking opportunity? #nifty50 #trading",132,263,77,#nifty50|#trading,,https://twitter.com/user/status/2015641645992921629,False
MarketWatch_IN,755447,1065232224576581011,2025-09-23T00:57:17.679860,"Auto index declined by 1.8%. Top picks: TCS, INFY #sectoral #investment",46,212,20,#sectoral|#investment,,https://twitter.com/user/status/4674491157012740864,False
StockPicksDaily,461116,7885621326605442133,2025-09-23T00:56:50.567893,Pharma sector showing reversal. TCS at key support/resistance. #pharma #technical,61,7,3,#pharma|#technical,,https://twitter.com/user/status/6230628077566025484,False
MarketWatch_IN,985783,7837518583481934501,2025-09-23T00:55:34.105743,Bank Nifty testing 44000 resistance. Options traders watch for reversal. #banknifty #options,22,464,61,#banknifty|#options,,https://twitter.com/user/status/2588216633081714841,True
TradingGuru123,802104,4713371493913704575,2025-09-23T00:54:58.853625,"Currency impact: USDINR at 82.95. IT exports benefiting? Watch TCS, INFY #forex #exports",47,86,74,#forex|#exports,,https://twitter.com/user/status/4995363972153465266,True
MarketMoves,744037,1442208019025914740,2025-09-23T00:53:41.470165,Pharma sector showing reversal. ICICIBANK at key support/resistance. #pharma #technical,38,79,23,#pharma|#technical,,https://twitter.com/user/status/1766536375992308430,False
SwingTraderIN,443364,6591117816179961178,2025-09-23T00:53:14.433088,"Nifty 50 at 18200 levels, showing steady momentum. Good selling opportunity? #nifty50 #trading",5,746,7,#nifty50|#trading,,https://twitter.com/user/status/8295921057694836008,True
FundamentalFirst,398852,4226630651966678792,2025-09-23T00:53:08.073798,"Nifty 50 at 19000 levels, showing steady momentum. Good buying opportunity? #nifty50 #trading",79,646,27,#nifty50|#trading,,https://twitter.com/user/status/3886371650292483587,True
MarketWatch_IN,468189,7102161028908274206,2025-09-23T00:52:22.447884,"Currency impact: USDINR at 83.25. IT exports under pressure? Watch TCS, INFY #forex #exports",91,780,77,#forex|#exports,,https://twitter.com/user/status/5304508419894671782,True
EquityResearch,831099,4477648724642483573,2025-09-23T00:52:14.237611,"Pharma index outperformed by 0.9%. Top picks: HDFC, ICICI #sectoral #investment",96,372,26,#sectoral|#investment,,https://twitter.com/user/status/6198140664092098947,True
MarketBuzz24,836844,5737771148178834244,2025-09-23T00:51:38.776762,"Nifty 50 at 18200 levels, showing sideways momentum. Good selling opportunity? #nifty50 #trading",75,416,57,#nifty50|#trading,,https://twitter.com/user/status/1193421536909675417,True
FundamentalFirst,955229,7575471631922442669,2025-09-23T00:50:22.658944,Sensex surged by 400 points today. Auto leading the rally. #sensex #stockmarket,26,381,26,#sensex|#stockmarket,,https://twitter.com/user/status/2093840212016386664,True
